Date,DXY_Dollar_Index,Gold_Spot,Brent_Crude_Oil
2017-12-29,92.124,1302.545,66.62
2018-01-05,91.949,1320.21,67.79
2018-01-12,90.974,1338.405,69.81
2018-01-19,90.572,1331.795,68.65
2018-01-26,89.067,1350.145,70.29
2018-02-02,89.195,1332.98,68.23
2018-02-09,90.442,1316.69,62.71
2018-02-16,89.1,1347.86,64.9
2018-02-23,89.883,1328.94,67.1
2018-03-02,89.935,1322.205,64.56
2018-03-09,90.093,1323.705,65.49
2018-03-16,90.233,1314.0,65.99
2018-03-23,89.484,1347.225,70.36
2018-03-30,89.974,1325.0,70.22
2018-04-06,90.108,1333.195,66.93
2018-04-13,89.8,1345.46,72.62
2018-04-20,90.316,1335.125,73.71
2018-04-27,91.542,1322.795,74.44
2018-05-04,92.566,1315.05,75.0
2018-05-11,92.537,1318.2151,77.18
2018-05-18,93.637,1292.5,78.71
2018-05-25,94.188,1301.61,76.33
2018-06-01,94.191,1293.145,76.71
2018-06-08,93.551,1298.75,76.34
2018-06-15,94.789,1279.8401,73.0
2018-06-22,94.517,1269.28,75.53
2018-06-29,94.636,1253.0,79.42
2018-07-06,94.036,1254.985,77.29
2018-07-13,94.752,1241.52,74.92
2018-07-20,94.449,1231.765,73.0
2018-07-27,94.675,1223.375,74.39
2018-08-03,95.143,1213.43,73.42
2018-08-10,96.357,1211.3,72.96
2018-08-17,96.101,1184.77,71.86
2018-08-24,95.146,1205.965,75.43
2018-08-31,95.14,1201.09,77.45
2018-09-07,95.365,1195.855,77.1
2018-09-14,94.927,1193.71,78.1
2018-09-21,94.22,1199.545,78.77
2018-09-28,95.132,1192.09,82.69
2018-10-05,95.624,1202.855,84.11
2018-10-12,95.221,1217.93,80.6
2018-10-19,95.713,1226.315,80.02
2018-10-26,96.359,1233.585,77.73
2018-11-02,96.542,1232.89,72.62
2018-11-09,96.905,1209.595,69.88
2018-11-16,96.465,1221.47,67.1
2018-11-23,96.916,1223.19,59.19
2018-11-30,97.272,1221.965,58.68
2018-12-07,96.514,1248.095,61.4
2018-12-14,97.443,1238.21,60.25
2018-12-21,96.956,1256.01,53.5
2018-12-28,96.402,1280.75,52.23
2019-01-04,96.179,1284.92,57.42
2019-01-11,95.67,1288.0,60.59
2019-01-18,96.336,1281.495,62.58
2019-01-25,95.794,1303.22,61.51
2019-02-01,95.579,1318.0,62.9
2019-02-08,96.637,1314.065,61.97
2019-02-15,96.904,1321.41,64.88
2019-02-22,96.507,1327.795,66.91
2019-03-01,96.527,1293.5623,65.0
2019-03-08,97.306,1298.395,65.81
2019-03-15,96.595,1301.38,67.02
2019-03-22,96.651,1313.38,67.08
2019-03-29,97.284,1292.15,68.39
2019-04-05,97.395,1291.7,70.48
2019-04-12,96.972,1290.4,71.55
2019-04-19,97.378,1275.395,72.01
2019-04-26,98.006,1286.25,71.57
2019-05-03,97.52,1279.1899,70.78
2019-05-10,97.33,1286.0,70.86
2019-05-17,97.995,1277.55,72.17
2019-05-24,97.613,1284.895,69.26
2019-05-31,97.75,1305.65,64.47
